,game_id,team_id,action_type,made_or_sub,person_1,person_2
1,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,49,1,a99f44bbff39e352191a870e17f04537,881f83d2dee3f18c7d1751659406144e
2,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,1,1,57bbd7e30bc694aeee9ee40c583e6811,c00264c3114d23bac482e9de50fb7d28
3,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,97,1,89706b99ddd00dc05d37ef5cafc04276,6bcf6c1f8c373d25fca1579bc4464a91
4,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,1,1,57bbd7e30bc694aeee9ee40c583e6811,307beab25b1021a548b4a47550bc4b25
5,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,1,1,57bbd7e30bc694aeee9ee40c583e6811,6bcf6c1f8c373d25fca1579bc4464a91
6,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,1,1,a99f44bbff39e352191a870e17f04537,cec898a1d355dbfbad8c760615fde1af
7,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,57,1,2b313e2bcef0268bc8e9415132ba9997,6bcf6c1f8c373d25fca1579bc4464a91
8,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,80,1,881f83d2dee3f18c7d1751659406144e,2b313e2bcef0268bc8e9415132ba9997
9,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,0,8,89706b99ddd00dc05d37ef5cafc04276,d6bc5eb6ed54c734628cb4d237f99031
10,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,0,8,a99f44bbff39e352191a870e17f04537,1362d9ad805e7cc4ea3a9467c91142d6
11,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,106,1,d6bc5eb6ed54c734628cb4d237f99031,2b313e2bcef0268bc8e9415132ba9997
12,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,0,8,881f83d2dee3f18c7d1751659406144e,b2fada91a0c8a0f400623c425286ae2e
13,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,73,1,cec898a1d355dbfbad8c760615fde1af,2b313e2bcef0268bc8e9415132ba9997
14,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,47,1,307beab25b1021a548b4a47550bc4b25,6bcf6c1f8c373d25fca1579bc4464a91
15,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,106,1,d6bc5eb6ed54c734628cb4d237f99031,2b313e2bcef0268bc8e9415132ba9997
16,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,33963fe856a1523ff46438ba07d1d99f,603daefb2fa321f3abab289805fdcc25
17,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,2b313e2bcef0268bc8e9415132ba9997,a99f44bbff39e352191a870e17f04537
18,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,44,1,d6bc5eb6ed54c734628cb4d237f99031,6bcf6c1f8c373d25fca1579bc4464a91
19,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,50,1,d6bc5eb6ed54c734628cb4d237f99031,6bcf6c1f8c373d25fca1579bc4464a91
20,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,cec898a1d355dbfbad8c760615fde1af,881f83d2dee3f18c7d1751659406144e
21,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,27ea17a8685c4919f157e83fe9cb2d9e,60b5f9f68ccbbf7ba3fa13a2189e2775
22,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,d6bc5eb6ed54c734628cb4d237f99031,89706b99ddd00dc05d37ef5cafc04276
23,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,57bbd7e30bc694aeee9ee40c583e6811,c1fe6ed491d04e3cdf50755dff23b263
24,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,57,1,b2fada91a0c8a0f400623c425286ae2e,6bcf6c1f8c373d25fca1579bc4464a91
25,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,97,1,307beab25b1021a548b4a47550bc4b25,6bcf6c1f8c373d25fca1579bc4464a91
26,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,97,1,89706b99ddd00dc05d37ef5cafc04276,6bcf6c1f8c373d25fca1579bc4464a91
27,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,42,1,b2fada91a0c8a0f400623c425286ae2e,6bcf6c1f8c373d25fca1579bc4464a91
28,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,80,1,33963fe856a1523ff46438ba07d1d99f,8bb18fb1d0cc10c985afa823ecec6d18
29,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,42,1,89706b99ddd00dc05d37ef5cafc04276,2d9594e4d250679e7a3383ad5ccd2f44
30,021fd159b55773fba8157e2090fe0fe2,cff694c8186a4bd377de400e4f60fe47,47,1,603daefb2fa321f3abab289805fdcc25,6bcf6c1f8c373d25fca1579bc4464a91
31,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,1,1,89706b99ddd00dc05d37ef5cafc04276,a99f44bbff39e352191a870e17f04537
32,021fd159b55773fba8157e2090fe0fe2,012059d397c0b7e5a30a5bb89c0b075e,0,8,a99f44bbff39e352191a870e17f04537,2b313e2bcef0268bc8e9415132ba9997
