"","game_id","team_id","action_type","made_or_sub","person_1","person_2","period"
"1","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","49","1","a99f44bbff39e352191a870e17f04537","881f83d2dee3f18c7d1751659406144e","1"
"2","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","1","1","57bbd7e30bc694aeee9ee40c583e6811","c00264c3114d23bac482e9de50fb7d28","1"
"3","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","97","1","89706b99ddd00dc05d37ef5cafc04276","6bcf6c1f8c373d25fca1579bc4464a91","1"
"4","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","1","1","57bbd7e30bc694aeee9ee40c583e6811","307beab25b1021a548b4a47550bc4b25","1"
"5","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","1","1","57bbd7e30bc694aeee9ee40c583e6811","6bcf6c1f8c373d25fca1579bc4464a91","1"
"6","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","1","1","a99f44bbff39e352191a870e17f04537","cec898a1d355dbfbad8c760615fde1af","1"
"7","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","57","1","2b313e2bcef0268bc8e9415132ba9997","6bcf6c1f8c373d25fca1579bc4464a91","1"
"8","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","80","1","881f83d2dee3f18c7d1751659406144e","2b313e2bcef0268bc8e9415132ba9997","1"
"9","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","0","8","89706b99ddd00dc05d37ef5cafc04276","d6bc5eb6ed54c734628cb4d237f99031","1"
"10","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","0","8","a99f44bbff39e352191a870e17f04537","1362d9ad805e7cc4ea3a9467c91142d6","1"
"11","021fd159b55773fba8157e2090fe0fe2","012059d397c0b7e5a30a5bb89c0b075e","106","1","d6bc5eb6ed54c734628cb4d237f99031","2b313e2bcef0268bc8e9415132ba9997","1"
"12","021fd159b55773fba8157e2090fe0fe2","cff694c8186a4bd377de400e4f60fe47","0","8","881f83d2dee3f18c7d1751659406144e","b2fada91a0c8a0f400623c425286ae2e","1"
