Game_id	Period	Team_id	Event_Msg_Type	Event_Msg_Type_Description	Action_Type	Action_Type_Description	Option1	Person1	Person2
021fd159b55773fba8157e2090fe0fe2	1	1473d70e5646a26de3c52aa1abd85b1f	12	Start Period                            	0	                                        	0	6bcf6c1f8c373d25fca1579bc4464a91	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	10	Jump Ball                               	0	                                        	0	89706b99ddd00dc05d37ef5cafc04276	307beab25b1021a548b4a47550bc4b25
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	2	Missed Shot                             	1	Jump Shot                               	3	cec898a1d355dbfbad8c760615fde1af	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	4	Rebound                                 	0	Unknown                                 	0	307beab25b1021a548b4a47550bc4b25	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	6	Foul                                    	4	Offensive                               	0	c00264c3114d23bac482e9de50fb7d28	89706b99ddd00dc05d37ef5cafc04276
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	5	Turnover                                	5	Foul                                    	0	c00264c3114d23bac482e9de50fb7d28	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	6	Foul                                    	1	Personal                                	0	57bbd7e30bc694aeee9ee40c583e6811	89706b99ddd00dc05d37ef5cafc04276
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	1	Made Shot                               	49	Driving Dunk Shot                       	2	a99f44bbff39e352191a870e17f04537	881f83d2dee3f18c7d1751659406144e
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	1	Made Shot                               	1	Jump Shot                               	2	57bbd7e30bc694aeee9ee40c583e6811	c00264c3114d23bac482e9de50fb7d28
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	2	Missed Shot                             	1	Jump Shot                               	3	881f83d2dee3f18c7d1751659406144e	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	4	Rebound                                 	0	Unknown                                 	0	57bbd7e30bc694aeee9ee40c583e6811	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	2	Missed Shot                             	47	Turnaround Jump Shot                    	2	307beab25b1021a548b4a47550bc4b25	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	4	Rebound                                 	0	Unknown                                 	0	2b313e2bcef0268bc8e9415132ba9997	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	2	Missed Shot                             	5	Layup Shot                              	2	89706b99ddd00dc05d37ef5cafc04276	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	4	Rebound                                 	0	Unknown                                 	0	89706b99ddd00dc05d37ef5cafc04276	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	2	Missed Shot                             	97	Tip Layup Shot                          	2	89706b99ddd00dc05d37ef5cafc04276	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	4	Rebound                                 	0	Unknown                                 	0	89706b99ddd00dc05d37ef5cafc04276	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	1	Made Shot                               	97	Tip Layup Shot                          	2	89706b99ddd00dc05d37ef5cafc04276	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	1	Made Shot                               	1	Jump Shot                               	2	57bbd7e30bc694aeee9ee40c583e6811	307beab25b1021a548b4a47550bc4b25
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	2	Missed Shot                             	1	Jump Shot                               	3	cec898a1d355dbfbad8c760615fde1af	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	012059d397c0b7e5a30a5bb89c0b075e	4	Rebound                                 	0	Unknown                                 	0	c00264c3114d23bac482e9de50fb7d28	6bcf6c1f8c373d25fca1579bc4464a91
021fd159b55773fba8157e2090fe0fe2	1	cff694c8186a4bd377de400e4f60fe47	1	Made Shot                               	1	Jump Shot                               	2	57bbd7e30bc694aeee9ee40c583e6811	6bcf6c1f8c373d25fca1579bc4464a91
